Date,Date_YMD,Status,Confirmed,CCumulative, Deceased,DCumulative
22-Aug-20,8/22/2020,Confirmed,2819,75537,9,452
23-Aug-20,8/23/2020,Confirmed,2993,78530,10,462
24-Aug-20,8/24/2020,Confirmed,2949,81479,10,472
25-Aug-20,8/25/2020,Confirmed,2752,84231,9,481
26-Aug-20,8/26/2020,Confirmed,3371,87602,13,494
27-Aug-20,8/27/2020,Confirmed,3384,90986,7,501
28-Aug-20,8/28/2020,Confirmed,3682,94668,8,509
29-Aug-20,8/29/2020,Confirmed,3252,97920,14,523
30-Aug-20,8/30/2020,Confirmed,3014,100934,12,535
31-Aug-20,8/31/2020,Confirmed,2602,103536,10,545
1-Sep-20,9/1/2020,Confirmed,3025,106561,11,556
2-Sep-20,9/2/2020,Confirmed,3219,109780,11,567
3-Sep-20,9/3/2020,Confirmed,3631,113411,8,575
4-Sep-20,9/4/2020,Confirmed,3267,116678,9,584
5-Sep-20,9/5/2020,Confirmed,3543,120221,7,591
6-Sep-20,9/6/2020,Confirmed,3810,124031,8,599
7-Sep-20,9/7/2020,Confirmed,3861,127892,10,609
8-Sep-20,9/8/2020,Confirmed,3490,131382,13,622
9-Sep-20,9/9/2020,Confirmed,3748,135130,11,633
10-Sep-20,9/10/2020,Confirmed,3991,139121,11,644
11-Sep-20,9/11/2020,Confirmed,3996,143117,14,658
12-Sep-20,9/12/2020,Confirmed,3777,146894,11,669
13-Sep-20,9/13/2020,Confirmed,3913,150807,10,679
14-Sep-20,9/14/2020,Confirmed,4198,155005,11,690
15-Sep-20,9/15/2020,Confirmed,3645,158650,8,698
16-Sep-20,9/16/2020,Confirmed,4270,162920,11,709
17-Sep-20,9/17/2020,Confirmed,4241,167161,13,722
18-Sep-20,9/18/2020,Confirmed,4180,171341,13,735
19-Sep-20,9/19/2020,Confirmed,4209,175550,9,744
20-Sep-20,9/20/2020,Confirmed,4330,179880,10,754
21-Sep-20,9/21/2020,Confirmed,4242,184122,9,763
22-Sep-20,9/22/2020,Confirmed,4189,188311,11,774
23-Sep-20,9/23/2020,Confirmed,4237,192548,15,789
